corp_code,corp_name,stock_code,ceo_nm,induty_code,adres,hm_url,est_dt,acc_mt,updated_at
00260985,한빛네트,036720,강승환,58221,서울특별시 종로구 익선동 30-6,www.hanbitnet.com,19970722,12,2026-07-09T22:19:31
00264529,엔플렉스,040130,이 정 학,58221,서울특별시 강남구 논현동 98 동익빌딩 2층,www.gamekorea.net,19981030,12,2026-07-09T22:19:32
00358545,동서정보기술,055000,이희봉,58221,서울특별시 강남구 대치동 997-4 ,http://www.dsit.co.kr,19960410,12,2026-07-09T22:19:32
00231567,애드모바일,032600,김용석,58221,서울특별시 강서구 가양동 1458-9 동남빌딩 2층,www.kdline.co.kr,19950614,12,2026-07-09T22:19:32
00359614,리더컴,056140,박문기,26410,경기도 화성시 장안면 수촌리 877-23,http://leadercomm.co.kr,19980801,12,2026-07-09T22:19:33
00153551,허메스홀딩스,012400,김광선,26429,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-28 ,www.hermesholdings.co.kr,19770705,12,2026-07-09T22:19:33
00344746,유티엑스,045880,이성암,26410,서울특별시 금천구 가산동 371-28 우림라이온스밸리 B동 13층 ,www.i-utx.com,19971212,09,2026-07-09T22:19:33
00261188,글로포스트,037830,문원호,58221,서울특별시 서초구 잠원동 28-1 ,www.glopost.co.kr,19980728,12,2026-07-09T22:19:34
00268020,쏠라엔텍,030390,"김 재 철, 이 동 화 (각자대표)",46599,"서울특별시 서초구 서초동 1677-14 케이비빌딩 4,5층 ",www.dubank.co.kr,19760216,12,2026-07-09T22:19:34
00269287,보홍,041320,이근욱,46521,서울특별시 강남구 논현동 251 ,www.bohongcorp.com,19931206,12,2026-07-09T22:19:34
00475286,동북아1호선박투자회사,078420,김연신,71531,부산광역시 사상구 모라동 795-22,-,20040116,12,2026-07-09T22:19:34
00250775,에듀아크,046350,한데이브경환,2622,인천광역시 서구 가좌동 178-196 ,edu-ark.com,19910114,12,2026-07-09T22:19:35
00114321,데코,013650,박성경,14112,서울특별시 송파구 오금동 24-2번지 ,www.deco.co.kr,19781209,12,2026-07-09T22:19:35
00191108,엘앤씨피,015390,최형석,20491,충청북도 충주시 주덕읍 당우리 822-13 ,www.kysys.co.kr,19810309,12,2026-07-09T22:19:35
00167378,희훈디앤지,019640,"김재혁, 허  헌",42,서울특별시 강남구 논현동 66-11 ,www.heehoon.co.kr,19861217,12,2026-07-09T22:19:36
00225210,퓨쳐인포넷,058690,류원기,58221,"서울특별시 강남구 대치동 1001-13,14,15 ",www.futureinfonet.com,19920113,12,2026-07-09T22:19:36
00223346,쓰리디넷,035400,민봉기,58221,서울특별시 강남구 개포동 1228-1 세영빌딩 5층,vsst.com,19920115,12,2026-07-09T22:19:36
00174129,제일저축은행,024100,이용준,64131,서울특별시 송파구 가락동 99-3,www.jeilbank.co.kr,19680622,06,2026-07-09T22:19:36
00114826,제일창업투자,026540,황순태,64209,서울특별시 중구 충무로 2가 64-5 ,www.kfvc.co.kr,19900524,12,2026-07-09T22:19:37
00173333,현대DSF,016510,하병호(河炳鎬),47111,울산광역시 남구 삼산동 1521-1,www.e-hyundai.com,19821126,12,2026-07-09T22:19:37
00687599,네프로아이티,950030,카나이 타케시,63991,일본 도쿄도 주오구 쿄바시 1-11-8번지 니시긴빌딩 5층,www.nepro.jp/it/,20000209,03,2026-07-09T22:19:37
00256292,자강,036790,최준우,2642,경기도 성남시 분당구 야탑동 514-1 신도리코BD 6F ,www.zakang.co.kr,19960731,12,2026-07-09T22:19:38
00271431,케이엠에스,038830,이태현,2642,경기도 안양시 동안구 관양동 900-1 폴리켐빌딩 4층 ,www.kmscorp.co.kr,19930701,12,2026-07-09T22:19:38
00154727,에버리소스,020070,김영수,46510,인천광역시 남동구 논현동 448-1 예성아이라이프 804 ,www.ever-res.com,19870701,12,2026-07-09T22:19:38
00246189,제이에스,037110,임은섭,2642,경기도 이천시 호법면 안평리 67-2 ,www.korfirst.co.kr,19940905,12,2026-07-09T22:19:38
00154204,태창기업,007490,김희주,13401,경상남도 고성군 회화면 배둔리 87번지,www.tce.co.kr,19560901,12,2026-07-09T22:19:39
00152631,에이치비이에너지,017300,한상업,26,경상북도 구미시공단동 170,www.kds21.com,19831020,12,2026-07-09T22:19:39
00358095,코어비트,056850,김지태,58221,서울특별시 강남구 논현동 61-5 디엠씨씨빌딩 801호 ,www.corebit.co.kr,19930923,12,2026-07-09T22:19:39
00510215,동북아8호선박투자회사,082110,김연신,71531,부산광역시 사상구 모라동 795-22,-,20041119,12,2026-07-09T22:19:40
00347619,한국통신데이타,045760,진 병 현,58221,서울특별시 서초구 방배동 792-10 일건빌딩 402호,www.ktdata.co.kr,19990108,12,2026-07-09T22:19:40
00372013,케너텍,062730,정복임,291,경상북도 포항시 북구 청하면 이가리 366 ,www.kenertec.co.kr,19970924,12,2026-07-09T22:19:40
00353735,다휘,055250,이근훈,291,서울특별시 강남구 청담동 92-3 삼이빌딩 6층 ,www.dahui.co.kr,19950412,12,2026-07-09T22:19:41
00186540,코오롱아이넷,022520,박동문,58221,서울특별시 금천구 가산동 533-2 롯데센터 ,www.koloninet.com,19900720,12,2026-07-09T22:19:41
00128759,캠브리지코오롱,004620,오원선,14111,경기도 과천시 별양동 1-22 ,www.cambridge.co.kr,19660610,12,2026-07-09T22:19:41
00535588,네오세미테크,089240,"공동대표이사 박동창, 송준석, 김근",2612,인천광역시 연수구 송도동 7-14 ,www.neosemitech.com,19990805,12,2026-07-09T22:19:42
00264981,디에이치패션,045260,이장훈,467,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-100-4 ,www.enerlands.com,19971004,12,2026-07-09T22:19:42
00231521,핸디소프트,032380,권석호,58221,"서울특별시 서초구 서초동 1602-5번지 로얄타워 8층~12층,15층 ",www.handysoft.co.kr,19910210,12,2026-07-09T22:19:42
00159908,케이엠에이치,009690,김선근,28302,"경기도 안양시 동안구 관양동 799 안양메가밸리 405,812",www.kmholdings.co.kr,19740307,12,2026-07-09T22:19:42
00259493,씨엘엘씨디,035710,이양호,47919,서울특별시 송파구 가락본동 120-1 성호빌딩 3충 ,www.cllcd.co.kr,19940705,12,2026-07-09T22:19:43
00359641,현대푸드시스템,114410,이규성,56130,서울특별시 강동구 암사동 선사로 111번지 ,www.hyundaifoodsystem.com,19991223,12,2026-07-09T22:19:43
00161639,메리츠종합금융,012420,김동훈,64919,서울특별시 중구 태평로1가 84번지 서울파이낸스센터 5층,www.imeritzbank.com,19770713,03,2026-07-09T22:19:43
00211271,제넥셀세인,034660,이 문 일,27111,대전광역시 유성구 구성동 23 한국과학기술원 E18동 2층 ,www.genexel.com,19900211,12,2026-07-09T22:19:44
00388272,쓰리디월드,065340,문용훈 (단독대표),26,서울특별시 금천구 가산동 680번지 우림라이온스밸리2차 7층 ,www.dmtechnology.co.kr,20000320,12,2026-07-09T22:19:44
00264796,스톰이앤에프,043680,이준,5911,서울특별시 강남구 논현동 267-15 봄빌딩 B동 ,www.dechocolateentf.com,19940819,12,2026-07-09T22:19:44
00134909,소예,035010,이재성,467,경기도 성남시 분당구 서현동 254-4 여암빌딩 3층 ,www.soyea.com,19740307,06,2026-07-09T22:19:44
00236368,엠엔에프씨,048640,조성우 단독대표,22214,서울특별시 마포구 상암동 디엠씨비6-2 트루텍빌딩4층 ,www.dong-woo.com,19941212,12,2026-07-09T22:19:45
